file,item_index,name,before_category,after_category,final_gt,basis_group,judgement,reason,type,qty,base_price,final_price
costco\021_costco.json,1,ORIENTAL DRESSIN,기타,식재료,식재료,needs_manual_review,수동 검토,현재 규칙으로 명확히 해석되지 않는 diff. 상품명 품질과 문맥 확인 필요,core_category_changed,1,6990,6990
costco\024_costco.json,6,친환경시즌샐러드,식재료,간편식,간편식,ready_made_salad,정상 기준 변경,곡물/시즌/복수 구성 샐러드는 즉석 섭취형 완제품 샐러드로 보고 간편식,core_category_changed,1,5990,5990
emart\026_emart.json,0,5K프라이스 3컵우유,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,1450,1450
emart\028_emart.json,1,농심 사리면 110g*5,간편식,식재료,식재료,noodle_ingredient,정상 기준 변경,사리면/파스타면은 조리 전 면 재료로 식재료,core_category_changed,1,1580,1580
emart\029_emart.json,12,파머스픽 흙대,기타,식재료,식재료,fresh_produce,새 기준 채택,과일/채소/버섯류는 신선식품으로 식재료,core_category_changed,1,1980,1980
emart\030_emart.json,1,굿모닝 굿밀크 1L,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,1890,1890
emart\034_emart.json,0,목장의신선한우유1L,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,3150,3150
emart\038_emart.json,0,노브랜드 굿밀크우,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,1680,1680
emart\039_emart.json,3,79옻칠미니볶음스푼기,생활용품,기타,생활용품,daily_household_goods,프롬프트 오류,생활·위생·주방 목적이 상품명에 직접 드러나는 비식품은 생활용품,support_category_changed,1,4900,4900
emart\044_emart.json,6,맥심 풀 밸런스 200g,기타,음료,음료,needs_manual_review,수동 검토,현재 규칙으로 명확히 해석되지 않는 diff. 상품명 품질과 문맥 확인 필요,core_category_changed,1,7900,3950
hanaro\050_hanaro.json,4,P엔요 100ml*10입 100ml*10입,기타,음료,음료,fermented_milk_drink,새 기준 채택,요구르트음료/비피더스/액상 발효유는 음료,core_category_changed,1,2980,2980
hanaro\053_hanaro.json,5,P맛타리,기타,식재료,식재료,fresh_produce,새 기준 채택,과일/채소/버섯류는 신선식품으로 식재료,core_category_changed,1,990,990
hanaro\062_hanaro.json,2,P소와나무우유 900ML 900ML,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,1500,1500
hanaro\063_hanaro.json,6,P소와나무우유 900ML 900ML,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,1500,1500
hanaro\064_hanaro.json,2,P소와나무우유 900ML 900ML,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,1500,1500
hanaro\067_hanaro.json,0,미니비엔나 140,간편식,식재료,식재료,needs_manual_review,수동 검토,현재 규칙으로 명확히 해석되지 않는 diff. 상품명 품질과 문맥 확인 필요,core_category_changed,2,5240,5240
hanaro\067_hanaro.json,2,맥스봉 갈릭비엔나 70g,간편식,식재료,식재료,needs_manual_review,수동 검토,현재 규칙으로 명확히 해석되지 않는 diff. 상품명 품질과 문맥 확인 필요,core_category_changed,2,2000,2000
hanaro\069_hanaro.json,0,P서울우유 저지방 1L*2 1000ml*2,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,3880,3880
hanaro\074_hanaro.json,0,P서울우유 후레쉬밀크 900ml*2,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,4280,4280
hanaro\077_hanaro.json,3,P굿모닝우유기획 900ML*2 900ML*2,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,3580,3580
hanaro\078_hanaro.json,8,P서울우유 저지방 1L*2 1000ml*2,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,3880,3880
hanaro\079_hanaro.json,3,P고칼슘저지방우유기획 900ml*2,식재료,음료,음료,milk_to_beverage_policy,정상 기준 변경,본 연구 기준에서 일반 우유류는 액상 음용 제품으로 보아 음료로 재매핑,core_category_changed,1,3980,3980
